"","Country","Rad2013","Rad2014","Rad2015","GDP2013","GDP2014","GDP2015","Veh2013","Veh2014","Veh2015","Elec2013","Elec2014"
"109","Sweden",264.2311309,123.63092,124.0550059,60283.24522,59180.19898,50579.67365,32.60985842,36.35138215,40.48354142,0.013485074,0.013118723
"110","Switzerland",41.66863428,41.4727753,42.8187556,84658.88768,85814.58857,80945.07922,42.49020873,41.32598674,43.76143964,0.007351534,0.007048931
"111","Tajikistan",41.71442576,24.07881541,34.19240249,1048.666906,1113.366354,925.9118877,0.77540461,0.771471002,0.754551923,0.001660446,0.001420953
"112","Tanzania",12.41818503,15.42054386,15.02092185,909.3301412,957.9345343,878.9751055,0.133430367,0.111920237,0.041144244,9.14e-05,9.71e-05
"113","Thailand",29.69141258,30.66777374,31.82531489,6225.052283,5969.940116,5814.769764,19.72812375,13.02026214,11.73611717,0.002400786,0.002424925
"114","Trinidad",156.2266362,152.5275696,140.6666333,19607.94918,19325.3855,17321.88468,11.05144485,11.81262519,14.41083224,0.006453376,0.006695942
"115","Tunisia",51.09980251,50.98221268,56.99274384,4248.891276,4328.904197,3872.512084,4.317273688,4.628703417,4.366301158,0.001317375,0.001347213
"116","Turkey",56.03886217,49.63059855,57.76369486,10800.54235,10303.69871,9125.68759,11.71715247,10.41597709,12.85429773,0.002600211,0.002673939
"117","Turkmenistan",282.9532634,246.6387096,234.6406496,7480.321678,8199.009383,6672.477544,0.896931502,0.90443376,0.893272209,0.002386563,0.002529023
"118","Uganda",7.085808049,6.241568457,7.898236703,683.3431532,734.7440153,705.2925695,0.136711429,0.129688054,0.079421233,7.33e-05,7.25e-05
"119","Ukraine",53.68462242,29.94969457,37.20895965,4029.715504,3104.658296,2114.954716,5.119719672,2.335763366,1.158032842,0.003335462,0.003158575
"120","United Arab Emirates",188.8500171,186.6186507,195.1621952,42986.66461,44238.59977,40438.76293,29.10405313,28.9561936,28.03331192,0.010202644,0.01051099
"121","United Kingdom",71.30307955,59.64702856,64.3267536,42407.37101,46412.11727,43875.96961,40.47691885,44.00071131,46.99860444,0.005031738,0.004788587
"122","United States of America",191.6106284,200.475338,168.3437267,52749.91124,54539.66558,56115.71843,50.19616901,51.81022124,54.35481034,0.012225019,0.01226942
"123","Uruguay",80.52391322,100.7943814,144.8261794,16881.384,16737.9731,15573.90092,17.91506906,16.53684323,14.8107782,0.002920566,0.003017971
"124","Uzbekistan",41.60247593,24.82184949,31.49909743,1907.551233,2036.691723,2132.070368,1.901253836,1.888957887,1.856259685,0.001548699,0.001556612
"125","Vietnam",19.92209181,19.51935932,25.20964235,1907.564382,2052.319084,2111.138024,1.077234165,1.483121696,2.287844124,0.001236424,0.001378333
"126","Yemen",30.04392278,20.60971118,29.07568384,1582.849252,1650.974597,1406.291651,0.156658677,0.175681978,0.20870435,0.000227192,0.000199255
"127","Zambia",33.54782336,22.63941446,30.54867492,1839.518709,1726.992844,1304.879014,0.262362419,0.254431189,0.209724208,0.000722612,0.000669281
"128","Zimbabwe",16.71348251,17.70133587,19.92642195,905.5003218,931.1981847,924.1438193,0.335613446,0.380431271,0.160228155,0.000542319,0.000521789
